Player,School,Year,Pick,Pos,G,MP,FG%,2P%,College 3P%,FT%,PTS,SOS,TS%,eFG%,3PAr,FTr,OWS,3PTM,3P%
David Harrison,Colorado,2004,15,C,88,28.2,0.601,0.602,0.0,0.553,15.0,6.73,0.596,0.601,0.001,0.754,7.7,0.0,0.0
Jackson Vroman,Iowa State,2004,16,PF,63,30.6,0.558,0.569,0.077,0.512,13.2,7.06,0.555,0.559,0.021,0.483,3.8,0.0,0.0
Lionel Chalmers,Xavier,2004,17,PG,123,31.7,0.425,0.483,0.372,0.716,12.7,4.78,0.555,0.522,0.524,0.344,7.6,0.33,0.245
Royal Ivey,Texas,2004,18,PG,133,24.7,0.455,0.483,0.338,0.709,7.8,9.14,0.532,0.488,0.195,0.435,3.7,0.05,0.333
Chris Duhon,Duke,2004,19,PG,144,33.4,0.418,0.511,0.321,0.693,8.8,10.09,0.529,0.497,0.489,0.338,4.6,1.15,0.355
Trevor Ariza,UCLA,2004,20,SF,25,31.6,0.426,0.509,0.237,0.504,11.6,6.82,0.474,0.462,0.303,0.45,0.2,0.04,0.231
Bernard Robinson,Michigan,2004,21,SG,120,30.6,0.44,0.472,0.297,0.814,12.5,8.4,0.52,0.467,0.185,0.33,4.7,0.1,0.375
Matt Freije,Vanderbilt,2004,22,PF,121,28.7,0.448,0.501,0.355,0.786,15.6,8.36,0.563,0.512,0.365,0.4,9.2,0.61,0.259
Andrew Bogut,Utah,2005,1,PF,68,32.7,0.603,0.616,0.361,0.674,16.6,4.53,0.629,0.612,0.048,0.429,9.4,0.0,0.0
Marvin Williams,UNC,2005,2,PF,36,22.2,0.506,0.522,0.432,0.847,11.3,10.66,0.627,0.545,0.178,0.66,2.6,0.16,0.245
Deron Williams,Illinois,2005,3,PG,101,31.7,0.422,0.464,0.374,0.685,11.0,7.44,0.529,0.508,0.46,0.228,4.4,1.14,0.416
Chris Paul,Wake Forest,2005,4,PG,63,33.5,0.472,0.473,0.47,0.838,15.0,10.65,0.622,0.545,0.311,0.62,6.3,0.64,0.282
Raymond Felton,UNC,2005,5,PG,101,33.9,0.423,0.467,0.375,0.731,12.5,11.0,0.55,0.512,0.474,0.361,5.6,1.21,0.358
Charlie Villanueva,UConn,2005,6,PF,63,22.3,0.518,0.534,0.393,0.681,11.2,7.7,0.568,0.541,0.116,0.389,3.5,0.86,0.327
Channing Frye,Arizona,2005,7,C,133,27.7,0.562,0.568,0.261,0.759,13.5,9.02,0.601,0.565,0.018,0.387,10.3,0.05,0.333
Ike Diogu,Arizona State,2005,8,PF,91,35.1,0.571,0.591,0.387,0.786,21.4,6.66,0.655,0.59,0.098,0.791,15.0,0.0,0.0
Sean May,UNC,2005,9,PF,77,27.8,0.513,0.519,0.0,0.717,15.8,11.0,0.562,0.513,0.013,0.532,5.2,0.0,0.0
Rashad McCants,UNC,2005,10,SG,98,29.2,0.486,0.538,0.415,0.721,17.6,11.0,0.597,0.574,0.422,0.298,9.9,0.85,0.372
Antoine Wright,Texas A&M,2005,11,SG,87,32.1,0.412,0.439,0.376,0.648,15.4,5.15,0.516,0.492,0.425,0.303,3.8,0.03,0.067
Joey Graham,Oklahoma State,2005,12,SF,128,26.1,0.527,0.557,0.378,0.809,13.0,1.32,0.609,0.559,0.166,0.439,11.0,0.36,0.333
Danny Granger,New Mexico,2005,13,SF,95,28.4,0.496,0.529,0.366,0.753,16.7,1.8,0.587,0.533,0.2,0.561,9.6,0.38,0.323
